Name,Всего проектов,Дата рождения,Дата смерти,Знак зодиака,Карьера,Место рождения,Место смерти,Рост,Сыгранные/озвученные персонажи,Фильмография
Джейсон Марин,15,25/07/1974,,Лев,"Актёр, Войс-актер","Бруклин, Нью-Йорк, США",-,1.7,Флаундер (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%A4%D0%BB%D0%B0%D1%83%D0%BD%D0%B4%D0%B5%D1%80%20296c10ae8c75808f87bed303552e4641.md),"Русалочка (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%A0%D1%83%D1%81%D0%B0%D0%BB%D0%BE%D1%87%D0%BA%D0%B0%20294c10ae8c7580a8bf16e8e519568b29.md)"
Сэмюэл Э. Райт,30,20/11/1946,24/05/2021,Скорпион,"Актёр, Войс-актер, Певец","Камден, Южная Каролина, США","Уолден, Нью-Йорк, США",1.75,Себастьян (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%A1%D0%B5%D0%B1%D0%B0%D1%81%D1%82%D1%8C%D1%8F%D0%BD%20296c10ae8c758026855cd80505bb78d5.md),"Русалочка (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%A0%D1%83%D1%81%D0%B0%D0%BB%D0%BE%D1%87%D0%BA%D0%B0%20294c10ae8c7580a8bf16e8e519568b29.md)"
Пейдж О'Хара,35,10/05/1956,,Телец,"Актриса, Войс-актриса, Певица","Форт-Лодердейл, Флорида, США",-,1.63,Белль (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%91%D0%B5%D0%BB%D0%BB%D1%8C%20296c10ae8c7580c08cc8eea1a8f01634.md),"Красавица и чудовище (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9A%D1%80%D0%B0%D1%81%D0%B0%D0%B2%D0%B8%D1%86%D0%B0%20%D0%B8%20%D1%87%D1%83%D0%B4%D0%BE%D0%B2%D0%B8%D1%89%D0%B5%20294c10ae8c7580c48c38f4efab00f2cd.md)"
Робби Бенсон,110,21/01/1956,,Водолей,"Актёр, Войс-актер, Певец, Режиссёр","Даллас, Техас, США",-,1.75,Чудовище / Принц Адам (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%A7%D1%83%D0%B4%D0%BE%D0%B2%D0%B8%D1%89%D0%B5%20%D0%9F%D1%80%D0%B8%D0%BD%D1%86%20%D0%90%D0%B4%D0%B0%D0%BC%20296c10ae8c7580e58462d8b3af0d9bb0.md),"Красавица и чудовище (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9A%D1%80%D0%B0%D1%81%D0%B0%D0%B2%D0%B8%D1%86%D0%B0%20%D0%B8%20%D1%87%D1%83%D0%B4%D0%BE%D0%B2%D0%B8%D1%89%D0%B5%20294c10ae8c7580c48c38f4efab00f2cd.md)"
Ричард Уайт,15,04/08/1953,,Лев,"Актёр, Войс-актер, Певец","Оук-Ридж, Теннесси, США",-,1.88,Гастон (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%93%D0%B0%D1%81%D1%82%D0%BE%D0%BD%20296c10ae8c7580e98928f196563433d1.md),"Красавица и чудовище (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9A%D1%80%D0%B0%D1%81%D0%B0%D0%B2%D0%B8%D1%86%D0%B0%20%D0%B8%20%D1%87%D1%83%D0%B4%D0%BE%D0%B2%D0%B8%D1%89%D0%B5%20294c10ae8c7580c48c38f4efab00f2cd.md)"
Бобби Дрисколл,50,03/03/1937,30/03/1968,Рыбы,"Актёр, Войс-актер","Сидар-Рапидс, Айова, США","Нью-Йорк, США",1.75,Питер Пэн (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%9F%D0%B8%D1%82%D0%B5%D1%80%20%D0%9F%D1%8D%D0%BD%20296c10ae8c75800381aed471b4c65e75.md),"Питер Пэн (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9F%D0%B8%D1%82%D0%B5%D1%80%20%D0%9F%D1%8D%D0%BD%20294c10ae8c75801e9778efd520456161.md)"
Ганс Конрид,250,15/04/1917,05/01/1982,Овен,"Актёр, Войс-актер","Балтимор, Мэриленд, США","Бербанк, Калифорния, США",1.89,Капитан Крюк (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%9A%D0%B0%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%20%D0%9A%D1%80%D1%8E%D0%BA%20296c10ae8c7580c29695c221a768f158.md),"Питер Пэн (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9F%D0%B8%D1%82%D0%B5%D1%80%20%D0%9F%D1%8D%D0%BD%20294c10ae8c75801e9778efd520456161.md)"
Маргарет Керри,40,15/05/1929,01/04/2023,Телец,"Актёр, Войс-актер, Живая модель, Радиоведущая, Танцовщица","Лос-Анджелес, Калифорния, США.","Лос-Анджелес, Калифорния, США.",1.57,Динь-Динь (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%94%D0%B8%D0%BD%D1%8C-%D0%94%D0%B8%D0%BD%D1%8C%20296c10ae8c7580e38a6ff2871ea83789.md),"Питер Пэн (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9F%D0%B8%D1%82%D0%B5%D1%80%20%D0%9F%D1%8D%D0%BD%20294c10ae8c75801e9778efd520456161.md)"
Эрни Сабелла,70,19/09/1949,,Дева,"Актёр, Войс-актер","Уэстчестер, Нью-Йорк, США",-,1.7," Тимон и Пумба (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%A2%D0%B8%D0%BC%D0%BE%D0%BD%20%D0%B8%20%D0%9F%D1%83%D0%BC%D0%B1%D0%B0%20296c10ae8c758093a58ff0433c009907.md)","Король лев (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D1%8C%20%D0%BB%D0%B5%D0%B2%20294c10ae8c75809b8e6cdddddddb733c.md)"
Мэри Коста,25,05/04/1930,,Овен,"Актриса, Войс-актриса, Певица","Ноксвилл, Теннесси, США",-,1.65,Аврора (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%90%D0%B2%D1%80%D0%BE%D1%80%D0%B0%20296c10ae8c758029a6c4e9bc9c1792d2.md),"Спящая красавица (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%A1%D0%BF%D1%8F%D1%89%D0%B0%D1%8F%20%D0%BA%D1%80%D0%B0%D1%81%D0%B0%D0%B2%D0%B8%D1%86%D0%B0%20294c10ae8c7580b5a973f3461d1e41e3.md)"
Элинор Одли,80,19/11/1905,25/11/1991,Скорпион,"Актриса, Войс-актриса, Живая модель","Нью-Йорк, США","Северный Голливуд, Калифорния, США",1.7,"Малефисента (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%9C%D0%B0%D0%BB%D0%B5%D1%84%D0%B8%D1%81%D0%B5%D0%BD%D1%82%D0%B0%20296c10ae8c7580a499dfc945a25fb205.md), Леди Тремейн (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%9B%D0%B5%D0%B4%D0%B8%20%D0%A2%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BD%20296c10ae8c7580d6b6bacb83057aa788.md)","Спящая красавица (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%A1%D0%BF%D1%8F%D1%89%D0%B0%D1%8F%20%D0%BA%D1%80%D0%B0%D1%81%D0%B0%D0%B2%D0%B8%D1%86%D0%B0%20294c10ae8c7580b5a973f3461d1e41e3.md), Золушка (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%97%D0%BE%D0%BB%D1%83%D1%88%D0%BA%D0%B0%20296c10ae8c7580d48560dc17aad7ce22.md)"
Скотт Уайнгер,50,05/10/1975,,Весы,"Актёр, Войс-актер, Продюсер, Сценарист","Нью-Йорк, США",-,1.75,Аладдин (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%90%D0%BB%D0%B0%D0%B4%D0%B4%D0%B8%D0%BD%20296c10ae8c7580f1b445c5f7f15069d6.md),"Аладдин (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%90%D0%BB%D0%B0%D0%B4%D0%B4%D0%B8%D0%BD%20296c10ae8c75802bbcb5f7e3819019da.md)"
Робин Уильямс,110,21/07/1951,11/08/2014,Рак,"Актёр, Войс-актер, Комик, Продюсер","Чикаго, Иллинойс, США","Парадайс-Кей, Калифорния, США",1.7,Джинн (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%94%D0%B6%D0%B8%D0%BD%D0%BD%20296c10ae8c75801386cade116506e01b.md),"Аладдин (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%90%D0%BB%D0%B0%D0%B4%D0%B4%D0%B8%D0%BD%20296c10ae8c75802bbcb5f7e3819019da.md)"
Фрэнк Уэлкер,900,12/03/1946,,Рыбы,Войс-актер,"Денвер, Колорадо, США",-,1.73,Абу (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%90%D0%B1%D1%83%20296c10ae8c7580a7bf4eeb38eca6deee.md),"Аладдин (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%90%D0%BB%D0%B0%D0%B4%D0%B4%D0%B8%D0%BD%20296c10ae8c75802bbcb5f7e3819019da.md)"
Линда Ларкин,30,20/03/1970,,Рыбы,"Актриса, Войс-актриса","Лос-Анджелес, Калифорния, США",-,1.6,Жасмин (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%96%D0%B0%D1%81%D0%BC%D0%B8%D0%BD%20296c10ae8c75809ca847d0fb4c54a085.md),"Аладдин (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%90%D0%BB%D0%B0%D0%B4%D0%B4%D0%B8%D0%BD%20296c10ae8c75802bbcb5f7e3819019da.md)"
Джонатан Фриман,50,05/02/1950,,Водолей,"Актёр, Войс-актер, Певец","Кливленд, Огайо, США",-,1.75,Джафар (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2%20%D0%B8%20%D0%B7%D0%BB%D0%BE%D0%B4%D0%B5%D0%B5%D0%B2/%D0%94%D0%B6%D0%B0%D1%84%D0%B0%D1%80%20296c10ae8c758083a447cc7e480a3cc0.md),"Аладдин (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%90%D0%BB%D0%B0%D0%B4%D0%B4%D0%B8%D0%BD%20296c10ae8c75802bbcb5f7e3819019da.md)"
