Name,Вид,Встречается в парке,Исполтитель,Пол,Произведения,Саундтреки,Тип
Старатель Вонючка Пит,Игрушка,Disney's Hollywood Studios (%D0%9F%D0%B0%D1%80%D0%BA%D0%B8/%D0%91%D0%B0%D0%B7%D0%B0%20%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2/Disney's%20Hollywood%20Studios%2029dc10ae8c75800cb117c96355bfc898.md),"Келси Грэммер (%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B8/%D0%9B%D1%8E%D0%B4%D0%B8,%20%D0%BE%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%B3%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9/%D0%9A%D0%B5%D0%BB%D1%81%D0%B8%20%D0%93%D1%80%D1%8D%D0%BC%D0%BC%D0%B5%D1%80%20299c10ae8c75805491a1e97162693dd3.md)",М,"История игрушек 2 (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%B5%D0%BA%202%20296c10ae8c758025b37cc48f40d6bc95.md)",,Злодей
Лотсо (Мишка-Обнимашка),Игрушка,Disney's Hollywood Studios (%D0%9F%D0%B0%D1%80%D0%BA%D0%B8/%D0%91%D0%B0%D0%B7%D0%B0%20%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2/Disney's%20Hollywood%20Studios%2029dc10ae8c75800cb117c96355bfc898.md),"Нед Битти (%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B8/%D0%9B%D1%8E%D0%B4%D0%B8,%20%D0%BE%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%B3%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9/%D0%9D%D0%B5%D0%B4%20%D0%91%D0%B8%D1%82%D1%82%D0%B8%20299c10ae8c7580e08cc8f9926886cb92.md)",М,"История игрушек 3 (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%B5%D0%BA%203%20298c10ae8c75806a83bdd3068afbdc00.md)",,Злодей
Габби Габби,Игрушка,Disney's Hollywood Studios (%D0%9F%D0%B0%D1%80%D0%BA%D0%B8/%D0%91%D0%B0%D0%B7%D0%B0%20%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2/Disney's%20Hollywood%20Studios%2029dc10ae8c75800cb117c96355bfc898.md),"Кристина Хендрикс (%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B8/%D0%9B%D1%8E%D0%B4%D0%B8,%20%D0%BE%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%B3%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9/%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%B8%D0%BD%D0%B0%20%D0%A5%D0%B5%D0%BD%D0%B4%D1%80%D0%B8%D0%BA%D1%81%20299c10ae8c7580c38099db5651dedbe1.md)",Ж,"История игрушек 4 (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F%20%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%B5%D0%BA%204%20298c10ae8c758022ad7ad981f8bee42e.md)","I Can't Let You Get Away (%D0%A1%D0%B0%D1%83%D0%BD%D0%B4%D1%82%D1%80%D0%B5%D0%BA%D0%B8/%D0%9F%D0%B5%D1%81%D0%BD%D0%B8%20%D0%B8%D0%B7%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/I%20Can't%20Let%20You%20Get%20Away%2029cc10ae8c75803687c2f05ccc59908f.md)",Злодей
Эльза,Человек,EPCOT (%D0%9F%D0%B0%D1%80%D0%BA%D0%B8/%D0%91%D0%B0%D0%B7%D0%B0%20%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2/EPCOT%2029dc10ae8c7580158333d8928f7165ba.md)," Идина Мензел (%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B8/%D0%9B%D1%8E%D0%B4%D0%B8,%20%D0%BE%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%B3%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9/%D0%98%D0%B4%D0%B8%D0%BD%D0%B0%20%D0%9C%D0%B5%D0%BD%D0%B7%D0%B5%D0%BB%20299c10ae8c75806db1a6cbd3ed48d42d.md)",Ж,"Холодное сердце (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%A5%D0%BE%D0%BB%D0%BE%D0%B4%D0%BD%D0%BE%D0%B5%20%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%20296c10ae8c7580a8b709c9c915b5c0b9.md)","Let It Go (%D0%A1%D0%B0%D1%83%D0%BD%D0%B4%D1%82%D1%80%D0%B5%D0%BA%D0%B8/%D0%9F%D0%B5%D1%81%D0%BD%D0%B8%20%D0%B8%D0%B7%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/Let%20It%20Go%2029cc10ae8c7580a79884c1864c7b49e6.md), For the First Time in Forever (%D0%A1%D0%B0%D1%83%D0%BD%D0%B4%D1%82%D1%80%D0%B5%D0%BA%D0%B8/%D0%9F%D0%B5%D1%81%D0%BD%D0%B8%20%D0%B8%D0%B7%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/For%20the%20First%20Time%20in%20Forever%2029cc10ae8c75803ebd97f99bd5863270.md)",Герой
Анна,Человек,EPCOT (%D0%9F%D0%B0%D1%80%D0%BA%D0%B8/%D0%91%D0%B0%D0%B7%D0%B0%20%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2/EPCOT%2029dc10ae8c7580158333d8928f7165ba.md),"Кристен Белл (%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B8/%D0%9B%D1%8E%D0%B4%D0%B8,%20%D0%BE%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%B3%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9/%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%B5%D0%BD%20%D0%91%D0%B5%D0%BB%D0%BB%20299c10ae8c75801482dcfffa3fc5bb1e.md)",Ж,"Холодное сердце (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%A5%D0%BE%D0%BB%D0%BE%D0%B4%D0%BD%D0%BE%D0%B5%20%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%20296c10ae8c7580a8b709c9c915b5c0b9.md)","For the First Time in Forever (%D0%A1%D0%B0%D1%83%D0%BD%D0%B4%D1%82%D1%80%D0%B5%D0%BA%D0%B8/%D0%9F%D0%B5%D1%81%D0%BD%D0%B8%20%D0%B8%D0%B7%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/For%20the%20First%20Time%20in%20Forever%2029cc10ae8c75803ebd97f99bd5863270.md)",Герой
Олаф,Сверхъестественное существо,EPCOT (%D0%9F%D0%B0%D1%80%D0%BA%D0%B8/%D0%91%D0%B0%D0%B7%D0%B0%20%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2/EPCOT%2029dc10ae8c7580158333d8928f7165ba.md),"Джош Гэд (%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B8/%D0%9B%D1%8E%D0%B4%D0%B8,%20%D0%BE%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%B3%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9/%D0%94%D0%B6%D0%BE%D1%88%20%D0%93%D1%8D%D0%B4%20299c10ae8c75801bb5a3c6e2ee70eb9a.md)",М,"Холодное сердце (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%A5%D0%BE%D0%BB%D0%BE%D0%B4%D0%BD%D0%BE%D0%B5%20%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5%20296c10ae8c7580a8b709c9c915b5c0b9.md)","In Summer (%D0%A1%D0%B0%D1%83%D0%BD%D0%B4%D1%82%D1%80%D0%B5%D0%BA%D0%B8/%D0%9F%D0%B5%D1%81%D0%BD%D0%B8%20%D0%B8%D0%B7%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/In%20Summer%2029cc10ae8c7580c28a8dede239845694.md)",Второстепенный
Круэлла Де Виль,Человек,EPCOT (%D0%9F%D0%B0%D1%80%D0%BA%D0%B8/%D0%91%D0%B0%D0%B7%D0%B0%20%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2/EPCOT%2029dc10ae8c7580158333d8928f7165ba.md),"Бетти Лу Герсон (%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B8/%D0%9B%D1%8E%D0%B4%D0%B8,%20%D0%BE%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%B3%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9/%D0%91%D0%B5%D1%82%D1%82%D0%B8%20%D0%9B%D1%83%20%D0%93%D0%B5%D1%80%D1%81%D0%BE%D0%BD%20299c10ae8c7580c8942ec1607488e40c.md)",Ж,"101 далматинец (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/101%20%D0%B4%D0%B0%D0%BB%D0%BC%D0%B0%D1%82%D0%B8%D0%BD%D0%B5%D1%86%20296c10ae8c758089b921d89a333bdff7.md)",,Злодей
Понго,Животное,EPCOT (%D0%9F%D0%B0%D1%80%D0%BA%D0%B8/%D0%91%D0%B0%D0%B7%D0%B0%20%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2/EPCOT%2029dc10ae8c7580158333d8928f7165ba.md),"Род Тейлор (%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B8/%D0%9B%D1%8E%D0%B4%D0%B8,%20%D0%BE%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%B3%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9/%D0%A0%D0%BE%D0%B4%20%D0%A2%D0%B5%D0%B9%D0%BB%D0%BE%D1%80%20299c10ae8c7580ff8925c45702907865.md)",М,"101 далматинец (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/101%20%D0%B4%D0%B0%D0%BB%D0%BC%D0%B0%D1%82%D0%B8%D0%BD%D0%B5%D1%86%20296c10ae8c758089b921d89a333bdff7.md)","Dalmatian Plantation (%D0%A1%D0%B0%D1%83%D0%BD%D0%B4%D1%82%D1%80%D0%B5%D0%BA%D0%B8/%D0%9F%D0%B5%D1%81%D0%BD%D0%B8%20%D0%B8%D0%B7%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/Dalmatian%20Plantation%2029cc10ae8c758068bd0eda5690a1196d.md)",Герой
"Пэдди ",Животное,EPCOT (%D0%9F%D0%B0%D1%80%D0%BA%D0%B8/%D0%91%D0%B0%D0%B7%D0%B0%20%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2/EPCOT%2029dc10ae8c7580158333d8928f7165ba.md),"Кейт Бауэр (%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B8/%D0%9B%D1%8E%D0%B4%D0%B8,%20%D0%BE%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%B3%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9/%D0%9A%D0%B5%D0%B9%D1%82%20%D0%91%D0%B0%D1%83%D1%8D%D1%80%20299c10ae8c7580c784a1d22684f6e3cc.md)",Ж,"101 далматинец (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/101%20%D0%B4%D0%B0%D0%BB%D0%BC%D0%B0%D1%82%D0%B8%D0%BD%D0%B5%D1%86%20296c10ae8c758089b921d89a333bdff7.md)","Dalmatian Plantation (%D0%A1%D0%B0%D1%83%D0%BD%D0%B4%D1%82%D1%80%D0%B5%D0%BA%D0%B8/%D0%9F%D0%B5%D1%81%D0%BD%D0%B8%20%D0%B8%D0%B7%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/Dalmatian%20Plantation%2029cc10ae8c758068bd0eda5690a1196d.md)",Герой
Маугли,Человек,Disney's Animal Kingdom (%D0%9F%D0%B0%D1%80%D0%BA%D0%B8/%D0%91%D0%B0%D0%B7%D0%B0%20%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2/Disney's%20Animal%20Kingdom%2029dc10ae8c7580e88288f93726caed9b.md),"Брюс Райтерман (%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B8/%D0%9B%D1%8E%D0%B4%D0%B8,%20%D0%BE%D0%B7%D0%B2%D1%83%D1%87%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%B3%D1%80%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9/%D0%91%D1%80%D1%8E%D1%81%20%D0%A0%D0%B0%D0%B9%D1%82%D0%B5%D1%80%D0%BC%D0%B0%D0%BD%20299c10ae8c7580a08f1ede096fb9d37d.md)",М,"Книга джунглей (%D0%9F%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/%D0%91%D0%B0%D0%B7%D0%B0%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0%20%D0%B4%D0%B6%D1%83%D0%BD%D0%B3%D0%BB%D0%B5%D0%B9%20296c10ae8c75800eb797f1a58a420a3e.md)","The Bare Necessities (%D0%A1%D0%B0%D1%83%D0%BD%D0%B4%D1%82%D1%80%D0%B5%D0%BA%D0%B8/%D0%9F%D0%B5%D1%81%D0%BD%D0%B8%20%D0%B8%D0%B7%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/The%20Bare%20Necessities%2029cc10ae8c758016a561e23d2375b107.md), My Own Home (%D0%A1%D0%B0%D1%83%D0%BD%D0%B4%D1%82%D1%80%D0%B5%D0%BA%D0%B8/%D0%9F%D0%B5%D1%81%D0%BD%D0%B8%20%D0%B8%D0%B7%20%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2,%20%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%BE%D0%B2%20%D0%B8%20%D1%80%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%BE%D0%B2/My%20Own%20Home%2029cc10ae8c75807d9e7cf4c881afe7fe.md)",Герой
